wbcode,wbname,aosnew1,aosnew2,aosnew3,aosnew4,aosnew5,aosnew6,aosnew7,aosnew8,aosnew9,aosnew10,aosnew11,aosnew12,aosnew13,aosnew14,aosnew15,aosnew16,aosnew17,aosnew18,aosnew19,aosnew20,aosnew21,aosnew22,aosnew23,aosnew24,aosnew25,aosnew26,aosnew27,aosnew28,aosnew29,aosnew30,aosnew31,aosnew32,aosnew33,aosnew34,aosnew35,aosnew36,aosnew37,aosnew38,aosnew39,statehist00v3,statehist001v3,statehist01v3,statehist05v3,statehist10v3,statehist50v3,statehistn00v3,statehistn001v3,statehistn01v3,statehistn05v3,statehistn10v3,statehistn50v3
SEN,Senegal,25,25,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,50,50,50,50,50,50,28.125,28.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631.25,625.3477,575.5106,410.6783,288.1696,80.14771,0.323718,0.3268187,0.3543276,0.459683,0.5369961,0.5343181
YUG,Serbia and Montenegro,48,50,38.75,25,25,25,25,25,25,29.5,50,50,50,50,50,32.5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,20.5,1169.25,1149.443,991.7817,581.5526,369.1823,122.0413,0.5996154,0.6007209,0.6106154,0.650947,0.6879611,0.8136087
SYC,Seychelles,25,25,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,96.85923,95.61286,90.48969,84.91736,59.2963,0.0497436,0.0506205,0.0588665,0.1012875,0.1582412,0.3953087
SLE,Sierra Leone,25,8.9,8.1,2.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.925,44.89117,44.59126,43.34985,41.98272,35.4,0.0230385,0.023461,0.0274537,0.0485226,0.0782336,0.236
SGP,Singapore,25,25,31,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.5,416.0612,395.0379,318.6901,251.8293,87.9107,0.2146154,0.2174416,0.243215,0.3567181,0.4692769,0.5860714
SVK,Slovakia,31.5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.5,566.421,515.7789,357.4984,249.6829,81.49211,0.2935897,0.2960225,0.3175523,0.4001573,0.4652772,0.5432808
SVN,Slovenia,26.25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,49,50,32,0,0,25,25,25,25,25,25,25,25,25,20.5,977.75,959.6274,816.0526,450.9619,271.1368,76.25185,0.5014102,0.5015197,0.5024233,0.5047734,0.505256,0.5083457
SOM,Somalia,20.625,40.938,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,50,50,50,50,50,50,50,50,50,1599.063,1566.845,1313.322,687.6041,395.8712,97.91764,0.8200323,0.8188635,0.8085798,0.7696533,0.737695,0.6527843
ZAF,South Africa,37.5,25,28.125,28.125,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.25,131.0348,129.1334,121.3989,113.1395,77.46914,0.0673077,0.0684813,0.0795042,0.135885,0.2108323,0.516461
ESP,Spain,50,50,50,50,50,50,50,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,25,25,25,25,25,25,25,25,1287.5,1266.452,1099.127,665.5658,440.6052,148.293,0.6602564,0.6618722,0.676705,0.7449852,0.8210556,0.9886203
